focus_area,category_path,star_rating,how_to,why
Scan at least twice before receiving the ball,holdtraening_faelles,3,"[""Look left shoulder → back to center → look right shoulder → back to center."",""Look for pressure (close) and free teammate (safe solution)."",""Decide action before the ball reaches you.""]","You get ""more time"" on the ball and make faster decisions under pressure."
Identify pressure and free space,holdtraening_faelles,3,"[""Find nearest pressure (who can reach you in 1–2 sec?)."",""Find a free space in which you can take the first touch."",""Choose a quick pass under close pressure.""]",You avoid panic touches and play more safely and forward.
Have a plan before the ball arrives,holdtraening_faelles,4,"[""Make plan A (forward) and plan B (safe)."",""Check if plan A is still open just before receiving."",""Receive at an angle so you can execute the plan.""]","You play faster and more stable, especially in tight spaces."
First touch in the direction of play,holdtraening_faelles,3,"[""Receive in half turn with open body."",""First touch should move the ball 0.5–1 m in the direction you want to play."",""Avoid touching directly against pressure.""]","You create time, beat pressure and can play forward more often."
Avoid stopping the ball dead,holdtraening_faelles,3,"[""Never take the ball \""dead\"" if there is pressure nearby."",""Use a small touch forward/to the side instead."",""Keep your body over the ball and be ready for the next action.""]",Stopping the ball dead invites pressure. Active first touch keeps you in control.
React quickly when possession is lost,holdtraening_faelles,3,"[""React within 2 seconds: press the nearest or close the pass."",""Sprint the first 5 meters (not jogging)."",""Communicate \""pressure\"" so the team follows.""]",You stop transitions and win more balls high up the pitch.
"Scan before receiving, even away from the ball",holdtraening_faelles,3,"[""Scan every 3-5 second, even when you don't expect the ball."",""Look for free teammate, pressure and next space."",""Increase scanning as the ball approaches your side.""]",You become faster in the head and calmer on the ball.
Play one touch when the situation allows it,holdtraening_faelles,4,"[""Scan before the ball arrives: find receiver."",""Stand at an angle so that the ball can be played on with one touch."",""Choose 1-touch especially for close pressure.""]","Tempo increases, pressure is broken, and you become harder to shut down."
Position yourself so you can play forward,holdtraening_faelles,3,"[""Stand \""to the side\"" of the opponent, not behind him."",""Open your body towards the pitch."",""Move 1–2 m to create passing line forward.""]",You help the team play through chains and create chances.
Communicate before you receive the ball,holdtraening_faelles,2,"[""Give one clear message: \""time\"", \""man up\"", \""turn\"", \""one touch\""."",""Say it early (before receiving)."",""Keep it short and repeat only when necessary.""]",Better decisions and fewer mistakes – especially at high speed.
Create a new angle after passing,holdtraening_faelles,3,"[""After passing: move 2–5 m to new angle."",""Be available again (show hands/body towards ball)."",""Look for the next space you can receive in.""]",You keep the game going and become a constant solution.
Be available under pressure,holdtraening_faelles,4,"[""Make small movements out of the \""shadow\""."",""Stand at an angle so you can continue playing with 1–2 touches."",""Communicate \""in feet\"" if you want the ball.""]","The team can play out of pressure, and you develop elite confidence on the ball."
"Think about the next action, not the current one",holdtraening_faelles,4,"[""Think: \""if You get it now, what will I do?\"""",""Always have a plan A/B."",""Receive with the body ready for the next action.""]","You become faster, more stable and make fewer panic errors."
Work actively in transitions,holdtraening_faelles,3,"[""When winning the ball: make yourself available forward immediately."",""When losing the ball: press/close the center immediately."",""Focus on the first 5 meters.""]",Transitions create the most chances and the most dangerous situations.
Open body position before reception,holdtraening_faelles,3,"[""Stand at a 45° angle so you can see the pitch."",""Receive with a \""half turn\""."",""Avoid standing completely flat against the ball.""]",You can play forward faster and avoid getting locked.
Change game side quickly when there is room,holdtraening_faelles,4,"[""Scan: where is the opposite side free?"",""Play quickly via 1–2 passes or longer ball."",""Afterwards, move to a new support position.""]",You avoid pressure and create 1v1/2v1 on the opposite side.
Play through the pressure line when it is safe,holdtraening_faelles,5,"[""Scan for fit \""between chains\""."",""Use firm passing along the ground to free teammate."",""Choose safe solution if the line closes.""]",Breaking lines of pressure is a key to creating chances against good teams.
First 5 meters after delivery (re-position),holdtraening_faelles,3,"[""After passing: sprint/accelerate the first 5 m to a new place."",""See if you can get the ball back."",""Create superiority around the ball.""]",You are constantly involved and help the team dominate.
Keep the correct distance to the nearest teammate,holdtraening_faelles,3,"[""Too close = congestion, too far = no support."",""Adjust 2–3 m based on pressure."",""Keep \""triangles\"" in the game.""]",Good spacing makes passing and repressing significantly better.
Choose a safe solution in your own dangerous zone,holdtraening_faelles,3,"[""In own third: avoid risky passes centrally."",""Play out via sides/back if you are pressed."",""Only take risks when you have the time and support.""]","You reduce the most dangerous ball losses, which often lead to goals against."
Communication in the game,holdtraening_maalmand,3,"[""Give short commands: “press”, “fall”, “man on”, “out”."",""Speak before the situation becomes dangerous."",""Repeat when changing ball side.""]",You organize the team and prevent free chances against you.
Communicate constantly with the back chain,holdtraening_maalmand,4,"[""Control the line: “up”, “hold”, “fall”."",""Inform about running behind the back."",""Be clear and consistent.""]",The rear chain gets together and makes fewer mistakes.
Quick start-up,holdtraening_maalmand,3,"[""Look forward before you get the ball in your hands."",""Choose quick, simple solution."",""Initiate while the opponent is off balance.""]",You create transitions and catch the opponent disorganized.
Select quick launch,holdtraening_maalmand,3,"[""Plan A: fast forward. Plan B: safe map."",""Decide before you pick up the ball."",""Take it easy (no panic).""]",The pace and quality of your games will improve.
Actively position yourself in relation to the location of the ball,holdtraening_maalmand,4,"[""Move in small steps as the ball moves."",""Center yourself in relation to the ball (angle-closure)."",""Keep balance on the front foot.""]","You ""save"" with positioning and make the target smaller."
Be playable in the build-up,holdtraening_maalmand,3,"[""Position yourself as an extra passing option."",""Receive at an angle to the next pass."",""Communicate to stop: “back”.""]",You can play out of pressure and keep the ball.
Make early decisions in the box,holdtraening_maalmand,5,"[""Read posts early: go/stay."",""If you go: go 100% and shout “MIN”."",""If you stay: sit down to shoot/return.""]",Reduces chaos and prevents cheap targets.
Control the tempo with the ball,holdtraening_maalmand,3,"[""Fast when you are outnumbered."",""Slower when the team is going up."",""Use the same technique, only the decision changes.""]",You control the rhythm of the fight.
Communicate at set pieces,holdtraening_maalmand,4,"[""Distribute zones and markings."",""Use clear words: \""post\"", \""out\"", \""hold\""."",""Repeat just before post.""]",Dead balls decide matches – organization reduces dangerous finishes.
Anticipate the game – not just react,holdtraening_maalmand,5,"[""Read the ball carrier's body position."",""Move 1–2 steps before stabbing/insertion."",""Stay focused on dangerous spaces.""]",You become faster and safer in all situations.
Be ready for the return ball,holdtraening_maalmand,4,"[""After rescue: country in balance."",""Expect new ending."",""Communicate “clear”/“min”.""]","Returns are a great source of goals. You close the ""second chance""."
Restore organization after rescue,holdtraening_maalmand,3,"[""Shout \""out\"", \""up\"", \""press\""."",""Collect the rear chain quickly."",""Create calm before you build up.""]",You avoid one rescue turning into 2–3 dangerous situations.
Position yourself as a sweeper-keeper at high pressure,holdtraening_maalmand,5,"[""Stand 5–15 m outside when standing tall."",""Be ready to clear stitches."",""Keep your body low and ready to sprint.""]",You can stand taller and push more aggressively without being penalized in the back.
Play out with both feet,holdtraening_maalmand,4,"[""Receive and play with the freest foot."",""Be calm and keep a close eye on the ground."",""Avoid \""locking\"" yourself to one side.""]",You become harder to press and the structure becomes stable.
Communicate at post (before the ball is hit),holdtraening_maalmand,4,"[""Say \""post\"", \""out\"", \""hold line\""."",""Tell who is dueling and who is covering space."",""Repeat right before post.""]",Less confusion = less free headers against you.
Footwork before shot,holdtraening_maalmand,4,"[""Small \""set-steps\"" (quick small steps) before completion."",""Keep weight on front foot."",""Hands in front of body ready.""]",You become explosive and react faster.
Grip technique (safe balls),holdtraening_maalmand,3,"[""Meet the ball in front of the body."",""\""W-hands\"" for high balls, bowl for lows."",""Lock the ball in to the chest.""]",Secure grip reduces returns and chaos.
Read playthroughs and stitches,holdtraening_maalmand,5,"[""Scan the depth of the back chain and the opponent's run."",""Anticipate stabbing when the ball holder has time."",""Choose early: go out/hold.""]",You stop the most dangerous chances: free runners and breakthroughs.
Distribution of roles for free kicks (wall + depth),holdtraening_maalmand,4,"[""Place the wall correctly (distance + number)."",""Agree who covers depth/return."",""Check your position in relation to the post.""]",Reduces direct goals and rebounds after free kicks.
Trigger pressure with initiation,holdtraening_maalmand,3,"[""Start quickly to free side to avoid pressure."",""Use short passes to entice pressure and play through."",""Communicate “turn”/“again”.""]",You control where the preset comes and play freely.
Control against weak side in 1v1,holdtraening_back,4,"[""Close the inside with your position."",""Force the opponent to the outside."",""Wait for support before tackling.""]",You reduce breakthroughs centrally and make 1v1 easier to win.
Timing in overlap,holdtraening_back,3,"[""Start the race when edge is in control."",""Run fast and communicate."",""Choose overlap or underlap based on room.""]",Creates outnumbered and dangerous post situations.
