focus_area,category_path,star_rating,how_to,why
Kig minimum 2 gange før boldmodtagelse,holdtraening_faelles,3,"[""Kig venstre skulder → tilbage i center → kig højre skulder → tilbage i center."",""Kig efter pres (tæt på) og fri mand (sikker løsning)."",""Beslut handling før bolden når dig.""]",Du får “mere tid” på bolden og træffer hurtigere beslutninger under pres.
Identificér pres og frie rum,holdtraening_faelles,3,"[""Find nærmeste pres (hvem kan nå dig på 1–2 sek?)."",""Find et frit rum du kan tage første touch ind i."",""Vælg hurtig aflevering ved tæt pres.""]",Du undgår panikberøringer og spiller mere sikkert og fremadrettet.
Hav en plan før bolden kommer,holdtraening_faelles,4,"[""Lav plan A (fremad) og plan B (sikker)."",""Tjek om plan A stadig er åben lige før modtagelse."",""Modtag i vinkel så du kan udføre planen.""]","Du spiller hurtigere og mere stabilt, især i trange rum."
Førsteberøring i spilretning,holdtraening_faelles,3,"[""Modtag på halv vending med åben krop."",""Første touch skal flytte bolden 0,5–1 m i retningen du vil spille."",""Undgå at tage touch direkte mod pres.""]","Du skaber tid, slår pres og kan spille fremad oftere."
Undgå stopbold,holdtraening_faelles,3,"[""Tag aldrig bolden “død” hvis der er pres i nærheden."",""Brug et lille touch frem/til siden i stedet."",""Hold kroppen over bolden og vær klar på næste aktion.""]",Stopbold inviterer pres. Aktiv førsteberøring holder dig i kontrol.
Reagér hurtigt ved boldtab,holdtraening_faelles,3,"[""Reagér inden 2 sek: pres nærmeste eller luk pasning."",""Sprint de første 5 meter (ikke jog)."",""Kommunikér “pres” så holdet følger med.""]",I stopper omstillinger og vinder flere bolde højt.
Orientér dig før du modtager – også uden bold,holdtraening_faelles,3,"[""Scan hver 3.–5. sekund, også når du ikke forventer bold."",""Kig efter fri mand, pres og næste rum."",""Øg scanning når bolden nærmer sig din side.""]",Du bliver hurtigere i hovedet og mere rolig på bolden.
Spil én berøring når situationen tillader det,holdtraening_faelles,4,"[""Scan før bolden kommer: find modtager."",""Stå i vinkel så bolden kan spilles videre med én touch."",""Vælg 1-touch især ved tæt pres.""]","Tempo stiger, pres brydes, og I bliver sværere at lukke ned."
Positionér dig så du kan spille fremad,holdtraening_faelles,3,"[""Stil dig “på siden” af modstanderen, ikke bag ham."",""Åbn kroppen mod banen."",""Flyt 1–2 m for at skabe pasningslinje fremad.""]",Du hjælper holdet med at spille gennem kæder og skabe chancer.
Kommunikér før du får bolden,holdtraening_faelles,2,"[""Giv én klar besked: “tid”, “mand på”, “vend”, “én touch”."",""Sig det tidligt (før modtagelse)."",""Hold det kort og gentag kun ved behov.""]",Bedre beslutninger og færre fejl – især i højt tempo.
Skab en ny vinkel efter aflevering,holdtraening_faelles,3,"[""Efter aflevering: flyt dig 2–5 m til ny vinkel."",""Bliv spilbar igen (vis hænder/krop mod bold)."",""Kig efter næste rum du kan modtage i.""]",Du holder spillet i gang og bliver en konstant løsning.
